TIME	From IP	From Port	To IP	To Port	Method	Error	ASCII	Hex
5:46:04.148 pm	127.0.0.1	54719	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.148 pm	127.0.0.1	54720	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.182 pm	127.0.0.1	54721	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.227 pm	127.0.0.1	54722	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.274 pm	127.0.0.1	54723	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.311 pm	127.0.0.1	54724	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.366 pm	127.0.0.1	54725	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.402 pm	127.0.0.1	54726	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.438 pm	127.0.0.1	54727	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.482 pm	127.0.0.1	54728	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.518 pm	127.0.0.1	54729	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.548 pm	127.0.0.1	54730	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.603 pm	127.0.0.1	54731	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.636 pm	127.0.0.1	54732	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
5:46:04.669 pm	127.0.0.1	54733	You	63921	UDP		523.2558 -556.6638 29.1456 179.6024 -46.5908 176.3041	35 32 33 2E 32 35 35 38 20 2D 35 35 36 2E 36 36 33 38 20 32 39 2E 31 34 35 36 20 31 37 39 2E 36 30 32 34 20 2D 34 36 2E 35 39 30 38 20 31 37 36 2E 33 30 34 31	
