TIME	From IP	From Port	To IP	To Port	Method	Error	ASCII	Hex
5:44:53.119 pm	127.0.0.1	63849	You	63921	UDP		-208.8748 -577.4689 11.3307 179.7758 10.9598 176.1669	2D 32 30 38 2E 38 37 34 38 20 2D 35 37 37 2E 34 36 38 39 20 31 31 2E 33 33 30 37 20 31 37 39 2E 37 37 35 38 20 31 30 2E 39 35 39 38 20 31 37 36 2E 31 36 36 39	
5:44:53.119 pm	127.0.0.1	63850	You	63921	UDP		-208.8757 -577.4779 11.3271 179.7861 10.9355 176.17	2D 32 30 38 2E 38 37 35 37 20 2D 35 37 37 2E 34 37 37 39 20 31 31 2E 33 32 37 31 20 31 37 39 2E 37 38 36 31 20 31 30 2E 39 33 35 35 20 31 37 36 2E 31 37	
5:44:53.119 pm	127.0.0.1	63851	You	63921	UDP		-208.8701 -577.4799 11.3265 179.7917 10.9558 176.2085	2D 32 30 38 2E 38 37 30 31 20 2D 35 37 37 2E 34 37 39 39 20 31 31 2E 33 32 36 35 20 31 37 39 2E 37 39 31 37 20 31 30 2E 39 35 35 38 20 31 37 36 2E 32 30 38 35	
5:44:53.128 pm	127.0.0.1	63852	You	63921	UDP		-208.8694 -577.4824 11.3231 179.7666 10.9014 176.1744	2D 32 30 38 2E 38 36 39 34 20 2D 35 37 37 2E 34 38 32 34 20 31 31 2E 33 32 33 31 20 31 37 39 2E 37 36 36 36 20 31 30 2E 39 30 31 34 20 31 37 36 2E 31 37 34 34	
5:44:53.167 pm	127.0.0.1	63853	You	63921	UDP		-208.8694 -577.4824 11.3231 179.7666 10.9014 176.1744	2D 32 30 38 2E 38 36 39 34 20 2D 35 37 37 2E 34 38 32 34 20 31 31 2E 33 32 33 31 20 31 37 39 2E 37 36 36 36 20 31 30 2E 39 30 31 34 20 31 37 36 2E 31 37 34 34	
5:44:53.207 pm	127.0.0.1	63854	You	63921	UDP		-208.8889 -577.483 11.3223 179.7679 10.8546 176.2139	2D 32 30 38 2E 38 38 38 39 20 2D 35 37 37 2E 34 38 33 20 31 31 2E 33 32 32 33 20 31 37 39 2E 37 36 37 39 20 31 30 2E 38 35 34 36 20 31 37 36 2E 32 31 33 39	
5:44:53.252 pm	127.0.0.1	63855	You	63921	UDP		-208.869 -577.4727 11.3304 179.7699 10.9414 176.1649	2D 32 30 38 2E 38 36 39 20 2D 35 37 37 2E 34 37 32 37 20 31 31 2E 33 33 30 34 20 31 37 39 2E 37 36 39 39 20 31 30 2E 39 34 31 34 20 31 37 36 2E 31 36 34 39	
5:44:53.289 pm	127.0.0.1	63856	You	63921	UDP		-208.869 -577.4727 11.3304 179.7699 10.9414 176.1649	2D 32 30 38 2E 38 36 39 20 2D 35 37 37 2E 34 37 32 37 20 31 31 2E 33 33 30 34 20 31 37 39 2E 37 36 39 39 20 31 30 2E 39 34 31 34 20 31 37 36 2E 31 36 34 39	
5:44:53.327 pm	127.0.0.1	63857	You	63921	UDP		-208.869 -577.4727 11.3304 179.7699 10.9414 176.1649	2D 32 30 38 2E 38 36 39 20 2D 35 37 37 2E 34 37 32 37 20 31 31 2E 33 33 30 34 20 31 37 39 2E 37 36 39 39 20 31 30 2E 39 34 31 34 20 31 37 36 2E 31 36 34 39	
5:44:53.384 pm	127.0.0.1	63858	You	63921	UDP		-208.8694 -577.4809 11.3297 179.7801 10.9745 176.1576	2D 32 30 38 2E 38 36 39 34 20 2D 35 37 37 2E 34 38 30 39 20 31 31 2E 33 32 39 37 20 31 37 39 2E 37 38 30 31 20 31 30 2E 39 37 34 35 20 31 37 36 2E 31 35 37 36	
