TIME	From IP	From Port	To IP	To Port	Method	Error	ASCII	Hex
5:41:20.381 pm	127.0.0.1	61748	You	63921	UDP		-151.0006 192.9975 1.1332 -1.7869 42.2749 2.0793	2D 31 35 31 2E 30 30 30 36 20 31 39 32 2E 39 39 37 35 20 31 2E 31 33 33 32 20 2D 31 2E 37 38 36 39 20 34 32 2E 32 37 34 39 20 32 2E 30 37 39 33	
5:41:20.381 pm	127.0.0.1	61749	You	63921	UDP		-151.0016 192.9987 1.137 -1.7906 42.2726 2.0693	2D 31 35 31 2E 30 30 31 36 20 31 39 32 2E 39 39 38 37 20 31 2E 31 33 37 20 2D 31 2E 37 39 30 36 20 34 32 2E 32 37 32 36 20 32 2E 30 36 39 33	
5:41:20.385 pm	127.0.0.1	61750	You	63921	UDP		-151.006 192.9918 1.1413 -1.7139 42.2714 1.9883	2D 31 35 31 2E 30 30 36 20 31 39 32 2E 39 39 31 38 20 31 2E 31 34 31 33 20 2D 31 2E 37 31 33 39 20 34 32 2E 32 37 31 34 20 31 2E 39 38 38 33	
5:41:20.632 pm	127.0.0.1	61751	You	63921	UDP		-151.0168 192.994 1.1161 -1.7444 42.1816 2.0467	2D 31 35 31 2E 30 31 36 38 20 31 39 32 2E 39 39 34 20 31 2E 31 31 36 31 20 2D 31 2E 37 34 34 34 20 34 32 2E 31 38 31 36 20 32 2E 30 34 36 37	
5:41:20.681 pm	127.0.0.1	61752	You	63921	UDP		-151.0243 192.9704 1.1241 -1.86 42.2342 2.1972	2D 31 35 31 2E 30 32 34 33 20 31 39 32 2E 39 37 30 34 20 31 2E 31 32 34 31 20 2D 31 2E 38 36 20 34 32 2E 32 33 34 32 20 32 2E 31 39 37 32	
5:41:20.721 pm	127.0.0.1	61753	You	63921	UDP		-151.0364 192.9545 1.1398 -1.7566 42.2755 2.1034	2D 31 35 31 2E 30 33 36 34 20 31 39 32 2E 39 35 34 35 20 31 2E 31 33 39 38 20 2D 31 2E 37 35 36 36 20 34 32 2E 32 37 35 35 20 32 2E 31 30 33 34	
5:41:20.779 pm	127.0.0.1	61754	You	63921	UDP		-151.0486 192.943 1.1388 -1.7758 42.287 2.136	2D 31 35 31 2E 30 34 38 36 20 31 39 32 2E 39 34 33 20 31 2E 31 33 38 38 20 2D 31 2E 37 37 35 38 20 34 32 2E 32 38 37 20 32 2E 31 33 36	
5:41:20.808 pm	127.0.0.1	61755	You	63921	UDP		-151.0454 192.9412 1.1397 -1.7408 42.2825 2.0942	2D 31 35 31 2E 30 34 35 34 20 31 39 32 2E 39 34 31 32 20 31 2E 31 33 39 37 20 2D 31 2E 37 34 30 38 20 34 32 2E 32 38 32 35 20 32 2E 30 39 34 32	
5:41:20.844 pm	127.0.0.1	61756	You	63921	UDP		-151.0464 192.9413 1.1428 -1.7486 42.2789 2.1	2D 31 35 31 2E 30 34 36 34 20 31 39 32 2E 39 34 31 33 20 31 2E 31 34 32 38 20 2D 31 2E 37 34 38 36 20 34 32 2E 32 37 38 39 20 32 2E 31	
5:41:20.901 pm	127.0.0.1	61757	You	63921	UDP		-151.048 192.9397 1.1428 -1.7482 42.2825 2.091	2D 31 35 31 2E 30 34 38 20 31 39 32 2E 39 33 39 37 20 31 2E 31 34 32 38 20 2D 31 2E 37 34 38 32 20 34 32 2E 32 38 32 35 20 32 2E 30 39 31	
5:41:20.923 pm	127.0.0.1	61758	You	63921	UDP		-151.0522 192.9357 1.1502 -1.6936 42.2898 2.0408	2D 31 35 31 2E 30 35 32 32 20 31 39 32 2E 39 33 35 37 20 31 2E 31 35 30 32 20 2D 31 2E 36 39 33 36 20 34 32 2E 32 38 39 38 20 32 2E 30 34 30 38	
5:41:20.969 pm	127.0.0.1	61759	You	63921	UDP		-151.0495 192.9372 1.1461 -1.7373 42.2844 2.0805	2D 31 35 31 2E 30 34 39 35 20 31 39 32 2E 39 33 37 32 20 31 2E 31 34 36 31 20 2D 31 2E 37 33 37 33 20 34 32 2E 32 38 34 34 20 32 2E 30 38 30 35	
5:41:21.042 pm	127.0.0.1	61760	You	63921	UDP		-151.0475 192.9392 1.147 -1.7272 42.2882 2.0659	2D 31 35 31 2E 30 34 37 35 20 31 39 32 2E 39 33 39 32 20 31 2E 31 34 37 20 2D 31 2E 37 32 37 32 20 34 32 2E 32 38 38 32 20 32 2E 30 36 35 39	
5:41:21.045 pm	127.0.0.1	61761	You	63921	UDP		-151.0488 192.9377 1.1479 -1.7283 42.2861 2.0633	2D 31 35 31 2E 30 34 38 38 20 31 39 32 2E 39 33 37 37 20 31 2E 31 34 37 39 20 2D 31 2E 37 32 38 33 20 34 32 2E 32 38 36 31 20 32 2E 30 36 33 33	
5:41:21.076 pm	127.0.0.1	61762	You	63921	UDP		-151.049 192.939 1.1474 -1.7363 42.2864 2.0796	2D 31 35 31 2E 30 34 39 20 31 39 32 2E 39 33 39 20 31 2E 31 34 37 34 20 2D 31 2E 37 33 36 33 20 34 32 2E 32 38 36 34 20 32 2E 30 37 39 36	
5:41:21.131 pm	127.0.0.1	61763	You	63921	UDP		-151.0474 192.9393 1.1491 -1.7434 42.2894 2.0841	2D 31 35 31 2E 30 34 37 34 20 31 39 32 2E 39 33 39 33 20 31 2E 31 34 39 31 20 2D 31 2E 37 34 33 34 20 34 32 2E 32 38 39 34 20 32 2E 30 38 34 31	
5:41:21.156 pm	127.0.0.1	61764	You	63921	UDP		-151.0486 192.9386 1.149 -1.7405 42.2869 2.0791	2D 31 35 31 2E 30 34 38 36 20 31 39 32 2E 39 33 38 36 20 31 2E 31 34 39 20 2D 31 2E 37 34 30 35 20 34 32 2E 32 38 36 39 20 32 2E 30 37 39 31	
5:41:21.186 pm	127.0.0.1	61765	You	63921	UDP		-151.0473 192.9389 1.1453 -1.7345 42.2941 2.0737	2D 31 35 31 2E 30 34 37 33 20 31 39 32 2E 39 33 38 39 20 31 2E 31 34 35 33 20 2D 31 2E 37 33 34 35 20 34 32 2E 32 39 34 31 20 32 2E 30 37 33 37	
5:41:21.260 pm	127.0.0.1	61766	You	63921	UDP		-151.0466 192.9377 1.1463 -1.7318 42.287 2.0845	2D 31 35 31 2E 30 34 36 36 20 31 39 32 2E 39 33 37 37 20 31 2E 31 34 36 33 20 2D 31 2E 37 33 31 38 20 34 32 2E 32 38 37 20 32 2E 30 38 34 35	
5:41:21.359 pm	127.0.0.1	61767	You	63921	UDP		-151.0483 192.9381 1.1461 -1.7579 42.2894 2.0989	2D 31 35 31 2E 30 34 38 33 20 31 39 32 2E 39 33 38 31 20 31 2E 31 34 36 31 20 2D 31 2E 37 35 37 39 20 34 32 2E 32 38 39 34 20 32 2E 30 39 38 39	
5:41:21.364 pm	127.0.0.1	61768	You	63921	UDP		-151.0514 192.9352 1.152 -1.6902 42.2845 2.0309	2D 31 35 31 2E 30 35 31 34 20 31 39 32 2E 39 33 35 32 20 31 2E 31 35 32 20 2D 31 2E 36 39 30 32 20 34 32 2E 32 38 34 35 20 32 2E 30 33 30 39	
5:41:21.397 pm	127.0.0.1	61769	You	63921	UDP		-151.0483 192.9401 1.1464 -1.7171 42.2822 2.067	2D 31 35 31 2E 30 34 38 33 20 31 39 32 2E 39 34 30 31 20 31 2E 31 34 36 34 20 2D 31 2E 37 31 37 31 20 34 32 2E 32 38 32 32 20 32 2E 30 36 37	
5:41:21.459 pm	127.0.0.1	61770	You	63921	UDP		-151.0483 192.9399 1.1487 -1.7331 42.2898 2.085	2D 31 35 31 2E 30 34 38 33 20 31 39 32 2E 39 33 39 39 20 31 2E 31 34 38 37 20 2D 31 2E 37 33 33 31 20 34 32 2E 32 38 39 38 20 32 2E 30 38 35	
5:41:21.484 pm	127.0.0.1	61771	You	63921	UDP		-151.0476 192.9406 1.1486 -1.7418 42.2868 2.0851	2D 31 35 31 2E 30 34 37 36 20 31 39 32 2E 39 34 30 36 20 31 2E 31 34 38 36 20 2D 31 2E 37 34 31 38 20 34 32 2E 32 38 36 38 20 32 2E 30 38 35 31	
5:41:21.518 pm	127.0.0.1	61772	You	63921	UDP		-151.0485 192.9394 1.1465 -1.7341 42.2888 2.0848	2D 31 35 31 2E 30 34 38 35 20 31 39 32 2E 39 33 39 34 20 31 2E 31 34 36 35 20 2D 31 2E 37 33 34 31 20 34 32 2E 32 38 38 38 20 32 2E 30 38 34 38	
5:41:21.584 pm	127.0.0.1	61773	You	63921	UDP		-151.0469 192.9403 1.1477 -1.727 42.2915 2.0747	2D 31 35 31 2E 30 34 36 39 20 31 39 32 2E 39 34 30 33 20 31 2E 31 34 37 37 20 2D 31 2E 37 32 37 20 34 32 2E 32 39 31 35 20 32 2E 30 37 34 37	
5:41:21.619 pm	127.0.0.1	61774	You	63921	UDP		-151.049 192.9409 1.1473 -1.7385 42.2811 2.0875	2D 31 35 31 2E 30 34 39 20 31 39 32 2E 39 34 30 39 20 31 2E 31 34 37 33 20 2D 31 2E 37 33 38 35 20 34 32 2E 32 38 31 31 20 32 2E 30 38 37 35	
5:41:21.677 pm	127.0.0.1	61775	You	63921	UDP		-151.0473 192.9406 1.1493 -1.7336 42.2803 2.078	2D 31 35 31 2E 30 34 37 33 20 31 39 32 2E 39 34 30 36 20 31 2E 31 34 39 33 20 2D 31 2E 37 33 33 36 20 34 32 2E 32 38 30 33 20 32 2E 30 37 38	
5:41:21.718 pm	127.0.0.1	61776	You	63921	UDP		-151.0478 192.9414 1.1474 -1.7388 42.2822 2.0771	2D 31 35 31 2E 30 34 37 38 20 31 39 32 2E 39 34 31 34 20 31 2E 31 34 37 34 20 2D 31 2E 37 33 38 38 20 34 32 2E 32 38 32 32 20 32 2E 30 37 37 31	
5:41:21.819 pm	127.0.0.1	61777	You	63921	UDP		-151.0491 192.9392 1.1469 -1.7374 42.286 2.0723	2D 31 35 31 2E 30 34 39 31 20 31 39 32 2E 39 33 39 32 20 31 2E 31 34 36 39 20 2D 31 2E 37 33 37 34 20 34 32 2E 32 38 36 20 32 2E 30 37 32 33	
5:41:21.855 pm	127.0.0.1	61778	You	63921	UDP		-151.0484 192.9431 1.1467 -1.7332 42.2814 2.0786	2D 31 35 31 2E 30 34 38 34 20 31 39 32 2E 39 34 33 31 20 31 2E 31 34 36 37 20 2D 31 2E 37 33 33 32 20 34 32 2E 32 38 31 34 20 32 2E 30 37 38 36	
5:41:21.927 pm	127.0.0.1	61779	You	63921	UDP		-151.0475 192.9423 1.1485 -1.7294 42.2877 2.0786	2D 31 35 31 2E 30 34 37 35 20 31 39 32 2E 39 34 32 33 20 31 2E 31 34 38 35 20 2D 31 2E 37 32 39 34 20 34 32 2E 32 38 37 37 20 32 2E 30 37 38 36	
5:41:21.927 pm	127.0.0.1	61780	You	63921	UDP		-151.0473 192.9412 1.1482 -1.7278 42.2949 2.0736	2D 31 35 31 2E 30 34 37 33 20 31 39 32 2E 39 34 31 32 20 31 2E 31 34 38 32 20 2D 31 2E 37 32 37 38 20 34 32 2E 32 39 34 39 20 32 2E 30 37 33 36	
5:41:22.000 pm	127.0.0.1	61781	You	63921	UDP		-151.0511 192.9349 1.1471 -1.6852 42.285 2.0478	2D 31 35 31 2E 30 35 31 31 20 31 39 32 2E 39 33 34 39 20 31 2E 31 34 37 31 20 2D 31 2E 36 38 35 32 20 34 32 2E 32 38 35 20 32 2E 30 34 37 38	
5:41:22.023 pm	127.0.0.1	61782	You	63921	UDP		-151.0465 192.9382 1.1414 -1.7375 42.2805 2.0993	2D 31 35 31 2E 30 34 36 35 20 31 39 32 2E 39 33 38 32 20 31 2E 31 34 31 34 20 2D 31 2E 37 33 37 35 20 34 32 2E 32 38 30 35 20 32 2E 30 39 39 33	
5:41:22.065 pm	127.0.0.1	61783	You	63921	UDP		-151.0462 192.9378 1.1393 -1.7426 42.2772 2.1226	2D 31 35 31 2E 30 34 36 32 20 31 39 32 2E 39 33 37 38 20 31 2E 31 33 39 33 20 2D 31 2E 37 34 32 36 20 34 32 2E 32 37 37 32 20 32 2E 31 32 32 36	
5:41:22.127 pm	127.0.0.1	61784	You	63921	UDP		-151.0498 192.9344 1.1411 -1.6818 42.2827 2.081	2D 31 35 31 2E 30 34 39 38 20 31 39 32 2E 39 33 34 34 20 31 2E 31 34 31 31 20 2D 31 2E 36 38 31 38 20 34 32 2E 32 38 32 37 20 32 2E 30 38 31	
5:41:22.137 pm	127.0.0.1	61785	You	63921	UDP		-151.0468 192.9346 1.1374 -1.7331 42.2817 2.113	2D 31 35 31 2E 30 34 36 38 20 31 39 32 2E 39 33 34 36 20 31 2E 31 33 37 34 20 2D 31 2E 37 33 33 31 20 34 32 2E 32 38 31 37 20 32 2E 31 31 33	
5:41:22.171 pm	127.0.0.1	61786	You	63921	UDP		-151.045 192.9333 1.1389 -1.7002 42.2896 2.0664	2D 31 35 31 2E 30 34 35 20 31 39 32 2E 39 33 33 33 20 31 2E 31 33 38 39 20 2D 31 2E 37 30 30 32 20 34 32 2E 32 38 39 36 20 32 2E 30 36 36 34	
5:41:22.261 pm	127.0.0.1	61787	You	63921	UDP		-151.0605 192.9286 1.1551 -1.8688 42.229 2.191	2D 31 35 31 2E 30 36 30 35 20 31 39 32 2E 39 32 38 36 20 31 2E 31 35 35 31 20 2D 31 2E 38 36 38 38 20 34 32 2E 32 32 39 20 32 2E 31 39 31	
5:41:22.282 pm	127.0.0.1	61788	You	63921	UDP		-151.0508 192.9386 1.1431 -1.6883 42.2772 2.0575	2D 31 35 31 2E 30 35 30 38 20 31 39 32 2E 39 33 38 36 20 31 2E 31 34 33 31 20 2D 31 2E 36 38 38 33 20 34 32 2E 32 37 37 32 20 32 2E 30 35 37 35	
5:41:22.348 pm	127.0.0.1	61789	You	63921	UDP		-151.0464 192.9397 1.1364 -1.7406 42.2809 2.1066	2D 31 35 31 2E 30 34 36 34 20 31 39 32 2E 39 33 39 37 20 31 2E 31 33 36 34 20 2D 31 2E 37 34 30 36 20 34 32 2E 32 38 30 39 20 32 2E 31 30 36 36	
5:41:22.387 pm	127.0.0.1	61790	You	63921	UDP		-151.0501 192.939 1.146 -1.71 42.2857 2.0628	2D 31 35 31 2E 30 35 30 31 20 31 39 32 2E 39 33 39 20 31 2E 31 34 36 20 2D 31 2E 37 31 20 34 32 2E 32 38 35 37 20 32 2E 30 36 32 38	
5:41:22.461 pm	127.0.0.1	61791	You	63921	UDP		-151.0468 192.946 1.146 -1.7419 42.2868 2.0792	2D 31 35 31 2E 30 34 36 38 20 31 39 32 2E 39 34 36 20 31 2E 31 34 36 20 2D 31 2E 37 34 31 39 20 34 32 2E 32 38 36 38 20 32 2E 30 37 39 32	
5:41:22.475 pm	127.0.0.1	61792	You	63921	UDP		-151.0454 192.9505 1.1419 -1.7139 42.2862 2.0699	2D 31 35 31 2E 30 34 35 34 20 31 39 32 2E 39 35 30 35 20 31 2E 31 34 31 39 20 2D 31 2E 37 31 33 39 20 34 32 2E 32 38 36 32 20 32 2E 30 36 39 39	
5:41:22.564 pm	127.0.0.1	61793	You	63921	UDP		-151.0462 192.9507 1.1445 -1.7206 42.2726 2.0904	2D 31 35 31 2E 30 34 36 32 20 31 39 32 2E 39 35 30 37 20 31 2E 31 34 34 35 20 2D 31 2E 37 32 30 36 20 34 32 2E 32 37 32 36 20 32 2E 30 39 30 34	
5:41:22.564 pm	127.0.0.1	61794	You	63921	UDP		-151.0458 192.9416 1.142 -1.7447 42.2872 2.0794	2D 31 35 31 2E 30 34 35 38 20 31 39 32 2E 39 34 31 36 20 31 2E 31 34 32 20 2D 31 2E 37 34 34 37 20 34 32 2E 32 38 37 32 20 32 2E 30 37 39 34	
5:41:22.603 pm	127.0.0.1	61795	You	63921	UDP		-151.0497 192.9394 1.1481 -1.6813 42.293 2.0311	2D 31 35 31 2E 30 34 39 37 20 31 39 32 2E 39 33 39 34 20 31 2E 31 34 38 31 20 2D 31 2E 36 38 31 33 20 34 32 2E 32 39 33 20 32 2E 30 33 31 31	
5:41:22.676 pm	127.0.0.1	61796	You	63921	UDP		-151.0622 192.9392 1.1572 -1.9374 42.2191 2.2464	2D 31 35 31 2E 30 36 32 32 20 31 39 32 2E 39 33 39 32 20 31 2E 31 35 37 32 20 2D 31 2E 39 33 37 34 20 34 32 2E 32 31 39 31 20 32 2E 32 34 36 34	
5:41:22.691 pm	127.0.0.1	61797	You	63921	UDP		-151.0519 192.9389 1.1477 -1.6988 42.2858 2.0389	2D 31 35 31 2E 30 35 31 39 20 31 39 32 2E 39 33 38 39 20 31 2E 31 34 37 37 20 2D 31 2E 36 39 38 38 20 34 32 2E 32 38 35 38 20 32 2E 30 33 38 39	
5:41:22.801 pm	127.0.0.1	61798	You	63921	UDP		-151.0484 192.9412 1.1446 -1.7258 42.2832 2.0672	2D 31 35 31 2E 30 34 38 34 20 31 39 32 2E 39 34 31 32 20 31 2E 31 34 34 36 20 2D 31 2E 37 32 35 38 20 34 32 2E 32 38 33 32 20 32 2E 30 36 37 32	
5:41:22.801 pm	127.0.0.1	61799	You	63921	UDP		-151.0469 192.941 1.1466 -1.7384 42.2835 2.0804	2D 31 35 31 2E 30 34 36 39 20 31 39 32 2E 39 34 31 20 31 2E 31 34 36 36 20 2D 31 2E 37 33 38 34 20 34 32 2E 32 38 33 35 20 32 2E 30 38 30 34	
5:41:22.811 pm	127.0.0.1	61800	You	63921	UDP		-151.05 192.9364 1.1497 -1.6946 42.2896 2.0375	2D 31 35 31 2E 30 35 20 31 39 32 2E 39 33 36 34 20 31 2E 31 34 39 37 20 2D 31 2E 36 39 34 36 20 34 32 2E 32 38 39 36 20 32 2E 30 33 37 35	
5:41:22.907 pm	127.0.0.1	61801	You	63921	UDP		-151.0455 192.9382 1.1449 -1.7299 42.2886 2.0752	2D 31 35 31 2E 30 34 35 35 20 31 39 32 2E 39 33 38 32 20 31 2E 31 34 34 39 20 2D 31 2E 37 32 39 39 20 34 32 2E 32 38 38 36 20 32 2E 30 37 35 32	
5:41:22.907 pm	127.0.0.1	61802	You	63921	UDP		-151.05 192.9437 1.1414 -1.8466 42.2796 2.2046	2D 31 35 31 2E 30 35 20 31 39 32 2E 39 34 33 37 20 31 2E 31 34 31 34 20 2D 31 2E 38 34 36 36 20 34 32 2E 32 37 39 36 20 32 2E 32 30 34 36	
5:41:22.936 pm	127.0.0.1	61803	You	63921	UDP		-151.0457 192.935 1.1445 -1.7114 42.2933 2.0593	2D 31 35 31 2E 30 34 35 37 20 31 39 32 2E 39 33 35 20 31 2E 31 34 34 35 20 2D 31 2E 37 31 31 34 20 34 32 2E 32 39 33 33 20 32 2E 30 35 39 33	
5:41:23.030 pm	127.0.0.1	61804	You	63921	UDP		-151.0469 192.9379 1.1431 -1.742 42.2873 2.0827	2D 31 35 31 2E 30 34 36 39 20 31 39 32 2E 39 33 37 39 20 31 2E 31 34 33 31 20 2D 31 2E 37 34 32 20 34 32 2E 32 38 37 33 20 32 2E 30 38 32 37	
5:41:23.030 pm	127.0.0.1	61805	You	63921	UDP		-151.0473 192.9384 1.147 -1.7366 42.2913 2.0894	2D 31 35 31 2E 30 34 37 33 20 31 39 32 2E 39 33 38 34 20 31 2E 31 34 37 20 2D 31 2E 37 33 36 36 20 34 32 2E 32 39 31 33 20 32 2E 30 38 39 34	
5:41:23.129 pm	127.0.0.1	61806	You	63921	UDP		-151.0474 192.9385 1.1423 -1.7497 42.2787 2.1018	2D 31 35 31 2E 30 34 37 34 20 31 39 32 2E 39 33 38 35 20 31 2E 31 34 32 33 20 2D 31 2E 37 34 39 37 20 34 32 2E 32 37 38 37 20 32 2E 31 30 31 38	
5:41:23.129 pm	127.0.0.1	61807	You	63921	UDP		-151.0454 192.9373 1.1412 -1.7445 42.2816 2.1049	2D 31 35 31 2E 30 34 35 34 20 31 39 32 2E 39 33 37 33 20 31 2E 31 34 31 32 20 2D 31 2E 37 34 34 35 20 34 32 2E 32 38 31 36 20 32 2E 31 30 34 39	
5:41:23.129 pm	127.0.0.1	61808	You	63921	UDP		-151.0357 192.9257 1.1418 -1.7985 42.2965 2.1733	2D 31 35 31 2E 30 33 35 37 20 31 39 32 2E 39 32 35 37 20 31 2E 31 34 31 38 20 2D 31 2E 37 39 38 35 20 34 32 2E 32 39 36 35 20 32 2E 31 37 33 33	
5:41:23.155 pm	127.0.0.1	61809	You	63921	UDP		-151.023 192.9165 1.1347 -1.7548 42.3714 2.1372	2D 31 35 31 2E 30 32 33 20 31 39 32 2E 39 31 36 35 20 31 2E 31 33 34 37 20 2D 31 2E 37 35 34 38 20 34 32 2E 33 37 31 34 20 32 2E 31 33 37 32	
5:41:23.221 pm	127.0.0.1	61810	You	63921	UDP		-151.015 192.9221 1.142 -1.6324 42.3743 2.012	2D 31 35 31 2E 30 31 35 20 31 39 32 2E 39 32 32 31 20 31 2E 31 34 32 20 2D 31 2E 36 33 32 34 20 34 32 2E 33 37 34 33 20 32 2E 30 31 32	
5:41:23.260 pm	127.0.0.1	61811	You	63921	UDP		-150.9989 192.9045 1.1402 -1.8174 42.3645 2.1883	2D 31 35 30 2E 39 39 38 39 20 31 39 32 2E 39 30 34 35 20 31 2E 31 34 30 32 20 2D 31 2E 38 31 37 34 20 34 32 2E 33 36 34 35 20 32 2E 31 38 38 33	
5:41:23.345 pm	127.0.0.1	61812	You	63921	UDP		-151.0106 192.9039 1.1543 -2.0212 42.3127 2.3534	2D 31 35 31 2E 30 31 30 36 20 31 39 32 2E 39 30 33 39 20 31 2E 31 35 34 33 20 2D 32 2E 30 32 31 32 20 34 32 2E 33 31 32 37 20 32 2E 33 35 33 34	
5:41:23.351 pm	127.0.0.1	61813	You	63921	UDP		-151.0011 192.9042 1.1415 -1.8217 42.3648 2.1823	2D 31 35 31 2E 30 30 31 31 20 31 39 32 2E 39 30 34 32 20 31 2E 31 34 31 35 20 2D 31 2E 38 32 31 37 20 34 32 2E 33 36 34 38 20 32 2E 31 38 32 33	
5:41:23.382 pm	127.0.0.1	61814	You	63921	UDP		-151.0013 192.9036 1.1412 -1.8392 42.3622 2.1994	2D 31 35 31 2E 30 30 31 33 20 31 39 32 2E 39 30 33 36 20 31 2E 31 34 31 32 20 2D 31 2E 38 33 39 32 20 34 32 2E 33 36 32 32 20 32 2E 31 39 39 34	
5:41:23.485 pm	127.0.0.1	61815	You	63921	UDP		-151.0011 192.9031 1.1424 -1.8302 42.363 2.2008	2D 31 35 31 2E 30 30 31 31 20 31 39 32 2E 39 30 33 31 20 31 2E 31 34 32 34 20 2D 31 2E 38 33 30 32 20 34 32 2E 33 36 33 20 32 2E 32 30 30 38	
5:41:23.485 pm	127.0.0.1	61816	You	63921	UDP		-151.0031 192.9001 1.1475 -1.7666 42.37 2.1261	2D 31 35 31 2E 30 30 33 31 20 31 39 32 2E 39 30 30 31 20 31 2E 31 34 37 35 20 2D 31 2E 37 36 36 36 20 34 32 2E 33 37 20 32 2E 31 32 36 31	
5:41:23.563 pm	127.0.0.1	61817	You	63921	UDP		-151.0009 192.9046 1.1435 -1.8214 42.3719 2.1623	2D 31 35 31 2E 30 30 30 39 20 31 39 32 2E 39 30 34 36 20 31 2E 31 34 33 35 20 2D 31 2E 38 32 31 34 20 34 32 2E 33 37 31 39 20 32 2E 31 36 32 33	
5:41:23.579 pm	127.0.0.1	61818	You	63921	UDP		-151.003 192.9063 1.1439 -1.8441 42.367 2.1915	2D 31 35 31 2E 30 30 33 20 31 39 32 2E 39 30 36 33 20 31 2E 31 34 33 39 20 2D 31 2E 38 34 34 31 20 34 32 2E 33 36 37 20 32 2E 31 39 31 35	
5:41:23.716 pm	127.0.0.1	61819	You	63921	UDP		-151.0047 192.9053 1.1453 -1.8193 42.3671 2.1741	2D 31 35 31 2E 30 30 34 37 20 31 39 32 2E 39 30 35 33 20 31 2E 31 34 35 33 20 2D 31 2E 38 31 39 33 20 34 32 2E 33 36 37 31 20 32 2E 31 37 34 31	
5:41:23.716 pm	127.0.0.1	61820	You	63921	UDP		-151.003 192.9072 1.1461 -1.8149 42.3606 2.1758	2D 31 35 31 2E 30 30 33 20 31 39 32 2E 39 30 37 32 20 31 2E 31 34 36 31 20 2D 31 2E 38 31 34 39 20 34 32 2E 33 36 30 36 20 32 2E 31 37 35 38	
5:41:23.743 pm	127.0.0.1	61821	You	63921	UDP		-151.0134 192.9195 1.1479 -1.7479 42.3571 2.0847	2D 31 35 31 2E 30 31 33 34 20 31 39 32 2E 39 31 39 35 20 31 2E 31 34 37 39 20 2D 31 2E 37 34 37 39 20 34 32 2E 33 35 37 31 20 32 2E 30 38 34 37	
5:41:23.772 pm	127.0.0.1	61822	You	63921	UDP		-151.0316 192.9244 1.1465 -1.898 42.3021 2.2453	2D 31 35 31 2E 30 33 31 36 20 31 39 32 2E 39 32 34 34 20 31 2E 31 34 36 35 20 2D 31 2E 38 39 38 20 34 32 2E 33 30 32 31 20 32 2E 32 34 35 33	
5:41:23.802 pm	127.0.0.1	61823	You	63921	UDP		-151.031 192.9247 1.1518 -1.8565 42.2639 2.2204	2D 31 35 31 2E 30 33 31 20 31 39 32 2E 39 32 34 37 20 31 2E 31 35 31 38 20 2D 31 2E 38 35 36 35 20 34 32 2E 32 36 33 39 20 32 2E 32 32 30 34	
5:41:23.899 pm	127.0.0.1	61824	You	63921	UDP		-151.0493 192.9403 1.1486 -1.7426 42.2875 2.083	2D 31 35 31 2E 30 34 39 33 20 31 39 32 2E 39 34 30 33 20 31 2E 31 34 38 36 20 2D 31 2E 37 34 32 36 20 34 32 2E 32 38 37 35 20 32 2E 30 38 33	
5:41:23.926 pm	127.0.0.1	61825	You	63921	UDP		-151.0514 192.9423 1.1492 -1.7285 42.2832 2.0736	2D 31 35 31 2E 30 35 31 34 20 31 39 32 2E 39 34 32 33 20 31 2E 31 34 39 32 20 2D 31 2E 37 32 38 35 20 34 32 2E 32 38 33 32 20 32 2E 30 37 33 36	
5:41:24.061 pm	127.0.0.1	61826	You	63921	UDP		-151.0499 192.9437 1.1473 -1.7325 42.2897 2.0792	2D 31 35 31 2E 30 34 39 39 20 31 39 32 2E 39 34 33 37 20 31 2E 31 34 37 33 20 2D 31 2E 37 33 32 35 20 34 32 2E 32 38 39 37 20 32 2E 30 37 39 32	
5:41:24.068 pm	127.0.0.1	61827	You	63921	UDP		-151.053 192.9405 1.1547 -1.6859 42.2854 2.0373	2D 31 35 31 2E 30 35 33 20 31 39 32 2E 39 34 30 35 20 31 2E 31 35 34 37 20 2D 31 2E 36 38 35 39 20 34 32 2E 32 38 35 34 20 32 2E 30 33 37 33	
5:41:24.103 pm	127.0.0.1	61828	You	63921	UDP		-151.0493 192.9427 1.1504 -1.7294 42.2857 2.0832	2D 31 35 31 2E 30 34 39 33 20 31 39 32 2E 39 34 32 37 20 31 2E 31 35 30 34 20 2D 31 2E 37 32 39 34 20 34 32 2E 32 38 35 37 20 32 2E 30 38 33 32	
5:41:24.138 pm	127.0.0.1	61829	You	63921	UDP		-151.0529 192.9382 1.1534 -1.6824 42.2893 2.0202	2D 31 35 31 2E 30 35 32 39 20 31 39 32 2E 39 33 38 32 20 31 2E 31 35 33 34 20 2D 31 2E 36 38 32 34 20 34 32 2E 32 38 39 33 20 32 2E 30 32 30 32	
5:41:24.268 pm	127.0.0.1	61830	You	63921	UDP		-151.0454 192.9421 1.1509 -1.7135 42.2841 2.0498	2D 31 35 31 2E 30 34 35 34 20 31 39 32 2E 39 34 32 31 20 31 2E 31 35 30 39 20 2D 31 2E 37 31 33 35 20 34 32 2E 32 38 34 31 20 32 2E 30 34 39 38	
